forecast_date,lowest_price_per_mwh,highest_price_per_mwh,origin_date,data_block_id
2021-11-01,65.0,90.34,2021-10-31,62
2021-11-02,59.0,87.9,2021-11-01,63
2021-11-03,59.0,83.69,2021-11-02,64
2021-11-04,65.0,77.25,2021-11-03,65
2021-11-05,65.11,79.89,2021-11-04,66
2021-11-06,69.24,72.9,2021-11-05,67
2021-11-07,69.79,74.93,2021-11-06,68
2021-11-08,70.99,87.0,2021-11-07,69
2021-11-09,69.84,77.0,2021-11-08,70
2021-11-10,65.0,75.99,2021-11-09,71
2021-11-11,64.0,72.0,2021-11-10,72
2021-11-12,67.92,73.0,2021-11-11,73
2021-11-13,70.6,72.96,2021-11-12,74
2021-11-14,71.65,73.67,2021-11-13,75
2021-11-15,71.46,77.49,2021-11-14,76
2021-11-16,71.5,88.55,2021-11-15,77
2021-11-17,73.0,91.7,2021-11-16,78
2021-11-18,85.21,90.99,2021-11-17,79
2021-11-19,78.35,88.7,2021-11-18,80
2021-11-20,80.0,89.0,2021-11-19,81
2021-11-21,80.0,85.0,2021-11-20,82
2021-11-22,77.0,87.96,2021-11-21,83
2021-11-23,81.0,87.4,2021-11-22,84
2021-11-24,82.94,86.9,2021-11-23,85
2021-11-25,82.82,91.3,2021-11-24,86
2021-11-26,82.82,86.46,2021-11-25,87
2021-11-27,85.0,89.99,2021-11-26,88
2021-11-28,86.0,89.79,2021-11-27,89
2021-11-29,85.0,89.99,2021-11-28,90
2021-11-30,87.0,89.59,2021-11-29,91
2021-12-01,85.0,87.7,2021-11-30,92
2021-12-02,85.2,93.9,2021-12-01,93
2021-12-03,86.0,86.85,2021-12-02,94
2021-12-04,86.62,87.69,2021-12-03,95
2021-12-05,86.83,88.59,2021-12-04,96
2021-12-06,85.06,88.41,2021-12-05,97
2021-12-07,85.64,90.4,2021-12-06,98
2021-12-08,85.29,90.35,2021-12-07,99
2021-12-09,86.05,90.46,2021-12-08,100
2021-12-10,87.95,89.46,2021-12-09,101
2021-12-11,86.25,88.4,2021-12-10,102
2021-12-12,86.65,87.5,2021-12-11,103
2021-12-13,85.1,88.2,2021-12-12,104
2021-12-14,87.0,88.8,2021-12-13,105
2021-12-15,85.0,90.64,2021-12-14,106
2021-12-16,85.01,89.0,2021-12-15,107
2021-12-17,85.9,91.95,2021-12-16,108
2021-12-18,85.5,88.89,2021-12-17,109
2021-12-19,86.17,90.4,2021-12-18,110
2021-12-20,88.97,94.4,2021-12-19,111
2021-12-21,89.0,111.39,2021-12-20,112
2021-12-22,90.0,113.99,2021-12-21,113
2021-12-23,96.0,110.92,2021-12-22,114
2021-12-24,96.0,105.0,2021-12-23,115
2021-12-25,102.5,103.74,2021-12-24,116
2021-12-26,98.0,104.5,2021-12-25,117
2021-12-27,96.39,111.4,2021-12-26,118
2021-12-28,90.0,101.5,2021-12-27,119
2021-12-29,88.01,101.5,2021-12-28,120
2021-12-30,79.0,94.0,2021-12-29,121
2021-12-31,80.0,94.0,2021-12-30,122
2022-01-01,84.74,104.0,2021-12-31,123
2022-01-02,82.74,89.99,2022-01-01,124
2022-01-03,75.0,90.0,2022-01-02,125
2022-01-04,80.0,97.79,2022-01-03,126
2022-01-05,89.0,112.6,2022-01-04,127
2022-01-06,92.74,108.0,2022-01-05,128
2022-01-07,97.0,102.94,2022-01-06,129
2022-01-08,94.0,100.0,2022-01-07,130
2022-01-09,94.0,103.99,2022-01-08,131
2022-01-10,94.0,103.98,2022-01-09,132
2022-01-11,94.5,109.0,2022-01-10,133
2022-01-12,76.01,96.82,2022-01-11,134
2022-01-13,86.9,90.0,2022-01-12,135
2022-01-14,78.82,91.0,2022-01-13,136
2022-01-15,86.0,88.3,2022-01-14,137
2022-01-16,86.0,90.4,2022-01-15,138
2022-01-17,81.01,87.74,2022-01-16,139
2022-01-18,81.0,87.39,2022-01-17,140
2022-01-19,70.01,85.82,2022-01-18,141
2022-01-20,81.74,83.93,2022-01-19,142
2022-01-21,77.0,84.99,2022-01-20,143
2022-01-22,82.5,86.0,2022-01-21,144
2022-01-23,82.82,88.0,2022-01-22,145
2022-01-24,80.0,86.0,2022-01-23,146
2022-01-25,88.74,104.99,2022-01-24,147
2022-01-26,84.0,93.47,2022-01-25,148
2022-01-27,89.5,104.67,2022-01-26,149
2022-01-28,91.82,95.63,2022-01-27,150
2022-01-29,92.54,96.74,2022-01-28,151
2022-01-30,91.75,94.0,2022-01-29,152
2022-01-31,84.0,100.99,2022-01-30,153
2022-02-01,74.99,89.0,2022-01-31,154
2022-02-02,78.01,84.9,2022-02-01,155
2022-02-03,78.0,84.0,2022-02-02,156
2022-02-04,79.5,85.7,2022-02-03,157
2022-02-05,80.49,86.0,2022-02-04,158
2022-02-06,80.8,84.0,2022-02-05,159
2022-02-07,78.74,84.0,2022-02-06,160
2022-02-08,80.74,82.5,2022-02-07,161
2022-02-09,75.0,82.0,2022-02-08,162
2022-02-10,79.24,82.02,2022-02-09,163
2022-02-11,73.75,81.82,2022-02-10,164
2022-02-12,77.74,80.89,2022-02-11,165
2022-02-13,74.85,79.0,2022-02-12,166
2022-02-14,73.0,80.0,2022-02-13,167
2022-02-15,74.25,80.43,2022-02-14,168
2022-02-16,74.75,80.54,2022-02-15,169
2022-02-17,73.51,77.5,2022-02-16,170
2022-02-18,75.9,77.5,2022-02-17,171
2022-02-19,74.4,80.0,2022-02-18,172
2022-02-20,71.5,78.0,2022-02-19,173
2022-02-21,73.4,76.0,2022-02-20,174
2022-02-22,72.8,77.98,2022-02-21,175
2022-02-23,75.6,85.4,2022-02-22,176
2022-02-24,76.51,93.87,2022-02-23,177
2022-02-25,83.0,92.36,2022-02-24,178
2022-02-26,83.25,90.0,2022-02-25,179
2022-02-27,84.01,90.0,2022-02-26,180
2022-02-28,80.0,88.0,2022-02-27,181
2022-03-01,84.0,87.0,2022-02-28,182
2022-03-02,84.0,95.5,2022-03-01,183
2022-03-03,84.0,114.99,2022-03-02,184
2022-03-04,88.0,150.0,2022-03-03,185
2022-03-05,93.74,141.0,2022-03-04,186
2022-03-06,90.0,105.0,2022-03-05,187
2022-03-07,96.5,110.0,2022-03-06,188
2022-03-08,81.9,118.5,2022-03-07,189
2022-03-09,96.82,145.0,2022-03-08,190
2022-03-10,106.0,127.37,2022-03-09,191
2022-03-11,108.74,124.97,2022-03-10,192
2022-03-12,103.0,113.9,2022-03-11,193
2022-03-13,102.01,110.0,2022-03-12,194
2022-03-14,92.05,105.0,2022-03-13,195
2022-03-15,80.0,97.0,2022-03-14,196
2022-03-16,82.5,93.0,2022-03-15,197
2022-03-17,83.0,95.0,2022-03-16,198
2022-03-18,77.0,86.0,2022-03-17,199
2022-03-19,81.45,85.0,2022-03-18,200
2022-03-20,82.01,83.9,2022-03-19,201
2022-03-21,82.01,84.18,2022-03-20,202
2022-03-22,82.76,85.18,2022-03-21,203
2022-03-23,82.5,85.0,2022-03-22,204
2022-03-24,82.1,84.5,2022-03-23,205
2022-03-25,75.0,85.0,2022-03-24,206
2022-03-26,83.1,87.0,2022-03-25,207
2022-03-27,83.02,88.7,2022-03-26,208
2022-03-28,82.6,88.0,2022-03-27,209
2022-03-29,83.41,89.0,2022-03-28,210
2022-03-30,85.08,100.0,2022-03-29,211
2022-03-31,87.0,101.0,2022-03-30,212
2022-04-01,122.0,133.84,2022-03-31,213
2022-04-02,105.0,133.84,2022-04-01,214
2022-04-03,119.24,130.74,2022-04-02,215
2022-04-04,109.0,133.84,2022-04-03,216
2022-04-05,114.74,125.52,2022-04-04,217
2022-04-06,107.82,125.5,2022-04-05,218
2022-04-07,113.77,119.99,2022-04-06,219
2022-04-08,115.95,121.74,2022-04-07,220
2022-04-09,105.0,117.0,2022-04-08,221
2022-04-10,113.9,123.0,2022-04-09,222
2022-04-11,103.0,124.0,2022-04-10,223
2022-04-12,103.02,118.0,2022-04-11,224
2022-04-13,103.02,120.0,2022-04-12,225
2022-04-14,98.01,115.5,2022-04-13,226
2022-04-15,94.78,111.0,2022-04-14,227
2022-04-16,90.01,106.99,2022-04-15,228
2022-04-17,96.85,105.0,2022-04-16,229
2022-04-18,93.0,105.0,2022-04-17,230
2022-04-19,96.76,119.99,2022-04-18,231
2022-04-20,94.81,107.0,2022-04-19,232
2022-04-21,93.74,99.75,2022-04-20,233
2022-04-22,99.51,110.0,2022-04-21,234
2022-04-23,101.0,107.6,2022-04-22,235
2022-04-24,101.0,108.0,2022-04-23,236
2022-04-25,96.0,107.0,2022-04-24,237
2022-04-26,99.51,108.0,2022-04-25,238
2022-04-27,100.0,116.37,2022-04-26,239
2022-04-28,99.5,114.0,2022-04-27,240
2022-04-29,96.05,120.0,2022-04-28,241
2022-04-30,97.0,107.93,2022-04-29,242
2022-05-01,98.01,106.0,2022-04-30,243
2022-05-02,98.0,106.0,2022-05-01,244
2022-05-03,100.0,105.0,2022-05-02,245
2022-05-04,104.0,108.12,2022-05-03,246
2022-05-05,105.0,115.12,2022-05-04,247
2022-05-06,102.0,111.12,2022-05-05,248
2022-05-07,102.0,108.29,2022-05-06,249
2022-05-08,101.1,108.5,2022-05-07,250
2022-05-09,102.0,109.2,2022-05-08,251
2022-05-10,102.75,104.0,2022-05-09,252
2022-05-11,98.0,104.12,2022-05-10,253
2022-05-12,100.0,120.0,2022-05-11,254
2022-05-13,100.0,106.19,2022-05-12,255
2022-05-14,102.0,110.0,2022-05-13,256
2022-05-15,100.0,110.0,2022-05-14,257
2022-05-16,101.0,105.0,2022-05-15,258
2022-05-17,100.1,108.37,2022-05-16,259
2022-05-18,99.5,107.29,2022-05-17,260
2022-05-19,100.05,158.0,2022-05-18,261
2022-05-20,100.0,109.99,2022-05-19,262
2022-05-21,101.5,103.29,2022-05-20,263
2022-05-22,101.5,112.0,2022-05-21,264
2022-05-23,97.0,107.0,2022-05-22,265
2022-05-24,101.0,104.5,2022-05-23,266
2022-05-25,101.01,103.0,2022-05-24,267
2022-05-26,102.0,121.95,2022-05-25,268
2022-05-27,102.01,105.0,2022-05-26,269
2022-05-28,102.5,108.0,2022-05-27,270
2022-05-29,103.8,110.0,2022-05-28,271
2022-05-30,102.0,108.0,2022-05-29,272
2022-05-31,100.1,158.0,2022-05-30,273
2022-06-01,94.01,106.0,2022-05-31,274
2022-06-02,95.0,105.98,2022-06-01,275
2022-06-03,92.0,100.5,2022-06-02,276
2022-06-04,91.0,100.0,2022-06-03,277
2022-06-05,94.0,98.01,2022-06-04,278
2022-06-06,96.0,98.0,2022-06-05,279
2022-06-07,96.55,98.1,2022-06-06,280
2022-06-08,93.0,98.79,2022-06-07,281
2022-06-09,93.74,99.96,2022-06-08,282
2022-06-10,92.0,99.9,2022-06-09,283
2022-06-11,90.0,98.0,2022-06-10,284
2022-06-12,95.5,99.0,2022-06-11,285
2022-06-13,96.1,157.99,2022-06-12,286
2022-06-14,92.0,100.0,2022-06-13,287
2022-06-15,96.5,109.0,2022-06-14,288
2022-06-16,97.0,125.0,2022-06-15,289
2022-06-17,115.01,121.0,2022-06-16,290
2022-06-18,110.0,120.0,2022-06-17,291
2022-06-19,110.0,114.4,2022-06-18,292
2022-06-20,110.05,125.0,2022-06-19,293
2022-06-21,112.2,150.0,2022-06-20,294
2022-06-22,116.0,200.0,2022-06-21,295
2022-06-23,124.0,135.0,2022-06-22,296
2022-06-24,126.99,135.0,2022-06-23,297
2022-06-25,128.1,135.0,2022-06-24,298
2022-06-26,123.0,135.0,2022-06-25,299
2022-06-27,122.05,127.74,2022-06-26,300
2022-06-28,124.0,129.5,2022-06-27,301
2022-06-29,127.0,145.0,2022-06-28,302
2022-06-30,127.1,150.0,2022-06-29,303
2022-07-01,132.0,155.0,2022-06-30,304
2022-07-02,146.5,155.0,2022-07-01,305
2022-07-03,145.0,151.5,2022-07-02,306
2022-07-04,147.0,152.0,2022-07-03,307
2022-07-05,147.98,156.37,2022-07-04,308
2022-07-06,150.0,157.8,2022-07-05,309
2022-07-07,150.01,175.0,2022-07-06,310
2022-07-08,156.0,184.0,2022-07-07,311
2022-07-09,157.0,163.8,2022-07-08,312
2022-07-10,159.5,174.6,2022-07-09,313
2022-07-11,160.0,169.0,2022-07-10,314
2022-07-12,160.1,171.0,2022-07-11,315
2022-07-13,161.0,169.98,2022-07-12,316
2022-07-14,162.0,175.0,2022-07-13,317
2022-07-15,157.0,175.0,2022-07-14,318
2022-07-16,157.0,166.0,2022-07-15,319
2022-07-17,160.0,172.0,2022-07-16,320
2022-07-18,160.0,169.0,2022-07-17,321
2022-07-19,161.1,168.99,2022-07-18,322
2022-07-20,162.5,171.0,2022-07-19,323
2022-07-21,158.24,185.0,2022-07-20,324
2022-07-22,155.0,175.0,2022-07-21,325
2022-07-23,159.85,166.75,2022-07-22,326
2022-07-24,159.74,200.0,2022-07-23,327
2022-07-25,159.0,185.0,2022-07-24,328
2022-07-26,159.0,179.0,2022-07-25,329
2022-07-27,160.0,185.0,2022-07-26,330
2022-07-28,160.0,205.0,2022-07-27,331
2022-07-29,167.0,205.0,2022-07-28,332
2022-07-30,169.0,205.0,2022-07-29,333
2022-07-31,170.0,190.0,2022-07-30,334
2022-08-01,179.98,200.0,2022-07-31,335
2022-08-02,189.98,199.0,2022-08-01,336
2022-08-03,189.74,201.37,2022-08-02,337
2022-08-04,185.0,205.0,2022-08-03,338
2022-08-05,185.0,198.5,2022-08-04,339
2022-08-06,185.0,195.99,2022-08-05,340
2022-08-07,180.0,196.59,2022-08-06,341
2022-08-08,170.0,197.0,2022-08-07,342
2022-08-09,184.0,207.0,2022-08-08,343
2022-08-10,183.0,199.0,2022-08-09,344
2022-08-11,186.0,204.1,2022-08-10,345
2022-08-12,190.0,208.99,2022-08-11,346
2022-08-13,185.0,204.99,2022-08-12,347
2022-08-14,180.0,198.0,2022-08-13,348
2022-08-15,188.74,205.0,2022-08-14,349
2022-08-16,191.82,216.0,2022-08-15,350
2022-08-17,204.99,280.0,2022-08-16,351
2022-08-18,220.0,244.99,2022-08-17,352
2022-08-19,222.22,240.0,2022-08-18,353
2022-08-20,225.0,240.0,2022-08-19,354
2022-08-21,222.22,240.0,2022-08-20,355
2022-08-22,230.0,279.0,2022-08-21,356
2022-08-23,240.0,285.0,2022-08-22,357
2022-08-24,240.0,305.0,2022-08-23,358
2022-08-25,245.0,274.0,2022-08-24,359
2022-08-26,240.0,290.0,2022-08-25,360
2022-08-27,240.0,260.0,2022-08-26,361
2022-08-28,246.75,254.0,2022-08-27,362
2022-08-29,245.01,282.0,2022-08-28,363
2022-08-30,250.0,295.0,2022-08-29,364
2022-08-31,234.0,279.0,2022-08-30,365
2022-09-01,236.0,270.0,2022-08-31,366
2022-09-02,205.0,245.0,2022-09-01,367
2022-09-03,200.0,235.98,2022-09-02,368
2022-09-04,219.99,235.98,2022-09-03,369
2022-09-05,231.37,256.36,2022-09-04,370
2022-09-06,226.37,246.29,2022-09-05,371
2022-09-07,224.0,232.37,2022-09-06,372
2022-09-08,220.0,234.58,2022-09-07,373
2022-09-09,208.0,229.82,2022-09-08,374
2022-09-10,209.99,226.36,2022-09-09,375
2022-09-11,217.5,219.0,2022-09-10,376
2022-09-12,198.0,220.1,2022-09-11,377
2022-09-13,198.0,221.28,2022-09-12,378
2022-09-14,196.82,226.37,2022-09-13,379
2022-09-15,223.37,241.37,2022-09-14,380
2022-09-16,193.0,231.5,2022-09-15,381
2022-09-17,198.0,221.28,2022-09-16,382
2022-09-18,195.0,214.0,2022-09-17,383
2022-09-19,180.0,230.0,2022-09-18,384
2022-09-20,182.0,203.82,2022-09-19,385
2022-09-21,210.0,229.0,2022-09-20,386
2022-09-22,209.0,232.0,2022-09-21,387
2022-09-23,184.0,220.0,2022-09-22,388
2022-09-24,180.0,215.0,2022-09-23,389
2022-09-25,180.0,219.99,2022-09-24,390
2022-09-26,186.0,229.0,2022-09-25,391
2022-09-27,184.74,198.0,2022-09-26,392
2022-09-28,190.0,212.01,2022-09-27,393
2022-09-29,185.0,212.0,2022-09-28,394
2022-09-30,178.0,210.0,2022-09-29,395
2022-10-01,185.0,201.6,2022-09-30,396
2022-10-02,170.0,198.0,2022-10-01,397
2022-10-03,165.0,193.0,2022-10-02,398
2022-10-04,155.0,181.29,2022-10-03,399
2022-10-05,125.0,170.0,2022-10-04,400
2022-10-06,110.0,145.0,2022-10-05,401
2022-10-07,115.0,150.29,2022-10-06,402
2022-10-08,130.0,144.29,2022-10-07,403
2022-10-09,120.0,144.29,2022-10-08,404
2022-10-10,125.0,155.0,2022-10-09,405
2022-10-11,135.0,170.0,2022-10-10,406
2022-10-12,142.1,190.0,2022-10-11,407
2022-10-13,145.02,159.0,2022-10-12,408
2022-10-14,117.0,145.0,2022-10-13,409
2022-10-15,110.0,135.0,2022-10-14,410
2022-10-16,109.74,155.0,2022-10-15,411
2022-10-17,115.5,150.0,2022-10-16,412
2022-10-18,104.0,140.0,2022-10-17,413
2022-10-19,110.0,195.0,2022-10-18,414
2022-10-20,108.29,125.0,2022-10-19,415
2022-10-21,105.53,120.0,2022-10-20,416
2022-10-22,107.0,116.0,2022-10-21,417
2022-10-23,95.0,119.19,2022-10-22,418
2022-10-24,100.29,125.0,2022-10-23,419
2022-10-25,76.29,124.98,2022-10-24,420
2022-10-26,96.0,117.5,2022-10-25,421
2022-10-27,95.0,134.78,2022-10-26,422
2022-10-28,90.79,125.0,2022-10-27,423
2022-10-29,88.29,122.0,2022-10-28,424
2022-10-30,100.0,138.85,2022-10-29,425
2022-10-31,101.0,133.0,2022-10-30,426
2022-11-01,103.01,133.0,2022-10-31,427
2022-11-02,97.02,127.0,2022-11-01,428
2022-11-03,99.29,128.0,2022-11-02,429
2022-11-04,97.0,115.0,2022-11-03,430
2022-11-05,101.0,120.0,2022-11-04,431
2022-11-06,103.5,124.99,2022-11-05,432
2022-11-07,101.7,115.0,2022-11-06,433
2022-11-08,101.7,112.0,2022-11-07,434
2022-11-09,102.0,114.0,2022-11-08,435
2022-11-10,104.29,116.0,2022-11-09,436
2022-11-11,100.0,110.0,2022-11-10,437
2022-11-12,100.0,108.0,2022-11-11,438
2022-11-13,97.0,109.0,2022-11-12,439
2022-11-14,99.0,108.0,2022-11-13,440
2022-11-15,102.0,128.37,2022-11-14,441
2022-11-16,118.5,125.0,2022-11-15,442
2022-11-17,108.0,123.82,2022-11-16,443
2022-11-18,108.0,119.99,2022-11-17,444
2022-11-19,109.0,128.0,2022-11-18,445
2022-11-20,109.0,128.0,2022-11-19,446
2022-11-21,116.0,131.37,2022-11-20,447
2022-11-22,121.41,130.0,2022-11-21,448
2022-11-23,121.0,137.99,2022-11-22,449
2022-11-24,130.5,136.99,2022-11-23,450
2022-11-25,129.74,139.0,2022-11-24,451
2022-11-26,128.0,139.34,2022-11-25,452
2022-11-27,128.0,135.49,2022-11-26,453
2022-11-28,128.0,138.0,2022-11-27,454
2022-11-29,102.5,150.0,2022-11-28,455
2022-11-30,102.5,153.99,2022-11-29,456
2022-12-01,133.0,160.0,2022-11-30,457
2022-12-02,133.0,157.9,2022-12-01,458
2022-12-03,130.0,146.97,2022-12-02,459
2022-12-04,131.0,145.98,2022-12-03,460
2022-12-05,127.41,146.99,2022-12-04,461
2022-12-06,130.0,145.9,2022-12-05,462
2022-12-07,130.01,145.0,2022-12-06,463
2022-12-08,139.9,157.0,2022-12-07,464
2022-12-09,140.74,160.0,2022-12-08,465
2022-12-10,144.99,158.0,2022-12-09,466
2022-12-11,140.0,160.0,2022-12-10,467
2022-12-12,139.0,157.0,2022-12-11,468
2022-12-13,131.01,157.0,2022-12-12,469
2022-12-14,143.0,156.2,2022-12-13,470
2022-12-15,138.0,155.0,2022-12-14,471
2022-12-16,136.33,152.94,2022-12-15,472
2022-12-17,112.83,148.0,2022-12-16,473
2022-12-18,112.0,135.0,2022-12-17,474
2022-12-19,109.0,121.36,2022-12-18,475
2022-12-20,105.0,114.0,2022-12-19,476
2022-12-21,102.0,121.27,2022-12-20,477
2022-12-22,96.0,108.01,2022-12-21,478
2022-12-23,88.0,102.0,2022-12-22,479
2022-12-24,85.0,98.0,2022-12-23,480
2022-12-25,81.0,91.0,2022-12-24,481
2022-12-26,87.01,94.0,2022-12-25,482
2022-12-27,83.51,110.0,2022-12-26,483
2022-12-28,77.0,91.29,2022-12-27,484
2022-12-29,81.0,100.0,2022-12-28,485
2022-12-30,75.0,88.0,2022-12-29,486
2022-12-31,74.0,86.2,2022-12-30,487
2023-01-01,69.0,83.0,2022-12-31,488
2023-01-02,65.0,85.15,2023-01-01,489
2023-01-03,75.4,88.74,2023-01-02,490
2023-01-04,69.0,89.99,2023-01-03,491
2023-01-05,75.0,85.0,2023-01-04,492
2023-01-06,71.0,88.99,2023-01-05,493
2023-01-07,74.01,80.5,2023-01-06,494
2023-01-08,76.0,82.95,2023-01-07,495
2023-01-09,73.0,88.0,2023-01-08,496
2023-01-10,74.97,84.99,2023-01-09,497
2023-01-11,66.25,78.15,2023-01-10,498
2023-01-12,67.01,75.0,2023-01-11,499
2023-01-13,49.0,75.0,2023-01-12,500
2023-01-14,58.75,75.0,2023-01-13,501
2023-01-15,60.0,70.0,2023-01-14,502
2023-01-16,33.74,70.0,2023-01-15,503
2023-01-17,50.6,65.0,2023-01-16,504
2023-01-18,51.0,71.07,2023-01-17,505
2023-01-19,60.0,74.0,2023-01-18,506
2023-01-20,55.0,71.0,2023-01-19,507
2023-01-21,61.0,70.15,2023-01-20,508
2023-01-22,63.0,68.94,2023-01-21,509
2023-01-23,67.0,71.91,2023-01-22,510
2023-01-24,56.0,73.89,2023-01-23,511
2023-01-25,55.0,68.99,2023-01-24,512
2023-01-26,58.5,62.7,2023-01-25,513
2023-01-27,59.0,64.74,2023-01-26,514
2023-01-28,55.0,62.24,2023-01-27,515
2023-01-29,58.0,64.7,2023-01-28,516
2023-01-30,52.75,74.99,2023-01-29,517
2023-01-31,56.75,62.0,2023-01-30,518
2023-02-01,62.0,66.49,2023-01-31,519
2023-02-02,64.0,68.0,2023-02-01,520
2023-02-03,60.0,67.39,2023-02-02,521
2023-02-04,61.5,65.1,2023-02-03,522
2023-02-05,62.5,66.92,2023-02-04,523
2023-02-06,59.0,66.0,2023-02-05,524
2023-02-07,60.0,64.5,2023-02-06,525
2023-02-08,55.0,64.47,2023-02-07,526
2023-02-09,59.0,62.0,2023-02-08,527
2023-02-10,59.0,62.0,2023-02-09,528
2023-02-11,57.0,63.2,2023-02-10,529
2023-02-12,54.0,63.24,2023-02-11,530
2023-02-13,54.0,62.74,2023-02-12,531
2023-02-14,51.01,62.0,2023-02-13,532
2023-02-15,53.74,60.99,2023-02-14,533
2023-02-16,54.0,60.7,2023-02-15,534
2023-02-17,50.0,60.0,2023-02-16,535
2023-02-18,46.0,58.0,2023-02-17,536
2023-02-19,49.0,56.0,2023-02-18,537
2023-02-20,49.5,68.99,2023-02-19,538
2023-02-21,49.01,61.99,2023-02-20,539
2023-02-22,49.0,64.99,2023-02-21,540
2023-02-23,50.78,61.0,2023-02-22,541
2023-02-24,53.5,59.99,2023-02-23,542
2023-02-25,51.24,60.14,2023-02-24,543
2023-02-26,46.0,60.0,2023-02-25,544
2023-02-27,49.0,62.96,2023-02-26,545
2023-02-28,48.0,62.44,2023-02-27,546
2023-03-01,49.03,60.87,2023-02-28,547
2023-03-02,51.0,53.16,2023-03-01,548
2023-03-03,50.31,54.69,2023-03-02,549
2023-03-04,48.43,52.79,2023-03-03,550
2023-03-05,51.0,54.45,2023-03-04,551
2023-03-06,48.0,59.06,2023-03-05,552
2023-03-07,49.0,57.0,2023-03-06,553
2023-03-08,49.5,55.55,2023-03-07,554
2023-03-09,47.74,52.5,2023-03-08,555
2023-03-10,49.1,52.04,2023-03-09,556
2023-03-11,49.0,54.0,2023-03-10,557
2023-03-12,50.2,54.97,2023-03-11,558
2023-03-13,51.5,53.9,2023-03-12,559
2023-03-14,49.0,53.75,2023-03-13,560
2023-03-15,44.79,53.25,2023-03-14,561
2023-03-16,42.0,51.0,2023-03-15,562
2023-03-17,44.08,50.0,2023-03-16,563
2023-03-18,45.0,49.0,2023-03-17,564
2023-03-19,44.74,49.0,2023-03-18,565
2023-03-20,42.25,47.4,2023-03-19,566
2023-03-21,42.0,48.0,2023-03-20,567
2023-03-22,42.0,48.64,2023-03-21,568
2023-03-23,43.16,49.0,2023-03-22,569
2023-03-24,43.1,46.99,2023-03-23,570
2023-03-25,43.66,45.0,2023-03-24,571
2023-03-26,44.49,60.0,2023-03-25,572
2023-03-27,43.0,48.5,2023-03-26,573
2023-03-28,45.0,47.0,2023-03-27,574
2023-03-29,46.1,51.99,2023-03-28,575
2023-03-30,46.34,51.88,2023-03-29,576
2023-03-31,46.16,54.99,2023-03-30,577
2023-04-01,48.8,60.0,2023-03-31,578
2023-04-02,52.5,57.99,2023-04-01,579
2023-04-03,50.0,59.99,2023-04-02,580
